time[ms],R1[ohm]
524627,30371.76
525631,30211.68
526633,30371.76
527637,30533.14
528640,30371.76
529643,30371.76
530647,30211.67
531649,30211.68
532653,30211.68
533655,30211.67
534659,30371.76
535662,30211.67
536665,30052.86
537668,30371.76
538672,30859.80
539674,30211.67
540678,30211.68
541680,29738.98
542684,30371.76
543687,30052.86
544690,29583.88
545693,30211.67
546696,30211.67
547699,30533.14
548703,30052.85
549705,30371.76
550709,31025.12
551711,30052.86
552715,30695.81
553718,30211.67
554721,30052.85
555724,30211.68
556727,30533.14
557730,30211.68
558734,30211.67
559736,29583.88
560740,30695.80
561743,29895.30
562746,30211.68
563749,30533.14
564752,30211.67
565755,30211.67
566759,30533.14
567761,30211.67
568765,30052.85
569767,30052.86
570771,30211.68
571774,30211.67
572777,30211.68
573780,29583.88
574783,30211.67
575787,30052.86
576790,30211.68
577793,30211.67
578796,30211.68
579799,29738.98
580802,30052.86
581806,30211.68
582808,29738.97
583812,30211.67
584815,30371.76
585818,30371.76
586821,30371.76
587824,30211.68
588827,30211.67
589831,29738.98
590833,30211.67
591837,29738.98
592839,30052.86
593843,30371.76
594846,30695.80
595849,30052.86
596852,29895.30
597855,30052.86
598858,30052.86
599862,29895.30
600864,30211.68
601868,30211.67
602870,30052.86
603874,30371.76
604877,30052.85
605880,29738.98
606883,30052.86
607886,30052.86
608889,30211.67
609893,30211.68
610895,30533.14
611899,30052.86
612902,30695.81
613905,30052.86
614908,30211.68
615911,29430.00
616914,30052.86
617918,29895.30
618920,30211.67
619924,30211.68
620926,29430.00
621930,30052.86
622934,31025.12
623936,30052.86
624940,30052.85
625942,30533.14
626946,30211.67
627949,29738.97
628952,30211.67
629955,30371.76
630958,29583.88
631961,30052.86
632965,30052.86
633967,30695.80
634971,30211.68
635973,29583.88
636977,30371.76
637980,30211.67
638983,29583.88
639986,30052.86
640990,30052.85
641992,30052.85
642996,30695.81
643998,30371.76
645002,30052.86
646005,29895.30
647008,30211.67
648011,30052.85
649014,30052.86
650017,30859.80
651021,29895.30
652023,30211.67
653027,30052.86
654029,30533.13
655033,30052.86
656036,30052.85
657039,30052.85
658042,30211.68
659045,30533.14
660048,30211.67
661052,30211.68
662054,30371.76
663058,30211.67
664060,29895.30
665064,30211.68
666067,29583.88
667070,30052.86
668073,30211.67
669077,30211.68
670080,30695.80
671083,30211.67
672086,30052.85
673089,30052.86
674093,30371.76
675095,30211.67
676099,30052.86
677101,30211.67
678105,29895.30
679108,30052.85
680111,29583.88
681114,30211.67
682117,30052.86
683120,30371.76
684124,30052.85
685126,30052.86
686130,30371.76
687132,30211.67
688136,30371.76
689139,30211.67
690142,30533.13
691145,30211.68
692148,30211.67
693151,30371.76
694155,30695.81
695157,30052.86
696161,30211.68
697163,30211.68
698167,30052.86
699170,29430.00
700173,30052.86
701176,30052.86
702180,30211.67
